identity/LineItemId,bill/BillingPeriodStartDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/ResourceId,lineItem/UsageAmount,lineItem/UnblendedRate,lineItem/UnblendedCost,product/ProductName,product/region,resourceTags/user/Name
li000015,2026-05-18,123456789012,Usage,2026-05-21T00:00:00Z,2026-05-21T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000016,2026-05-18,123456789012,Usage,2026-05-21T00:00:00Z,2026-05-21T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000017,2026-05-18,123456789012,Usage,2026-05-22T00:00:00Z,2026-05-22T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000018,2026-05-18,123456789012,Usage,2026-05-22T00:00:00Z,2026-05-22T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000019,2026-05-18,123456789012,Usage,2026-05-22T00:00:00Z,2026-05-22T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000020,2026-05-18,123456789012,Usage,2026-05-22T00:00:00Z,2026-05-22T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000021,2026-05-18,123456789012,Usage,2026-05-23T00:00:00Z,2026-05-23T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000022,2026-05-18,123456789012,Usage,2026-05-23T00:00:00Z,2026-05-23T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000023,2026-05-18,123456789012,Usage,2026-05-23T00:00:00Z,2026-05-23T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000024,2026-05-18,123456789012,Usage,2026-05-23T00:00:00Z,2026-05-23T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000025,2026-05-18,123456789012,Usage,2026-05-24T00:00:00Z,2026-05-24T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000026,2026-05-18,123456789012,Usage,2026-05-24T00:00:00Z,2026-05-24T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000027,2026-05-18,123456789012,Usage,2026-05-24T00:00:00Z,2026-05-24T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000028,2026-05-18,123456789012,Usage,2026-05-24T00:00:00Z,2026-05-24T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000029,2026-05-18,123456789012,Usage,2026-05-25T00:00:00Z,2026-05-25T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000030,2026-05-18,123456789012,Usage,2026-05-25T00:00:00Z,2026-05-25T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000031,2026-05-18,123456789012,Usage,2026-05-25T00:00:00Z,2026-05-25T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000032,2026-05-18,123456789012,Usage,2026-05-25T00:00:00Z,2026-05-25T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000033,2026-05-18,123456789012,Usage,2026-05-26T00:00:00Z,2026-05-26T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000034,2026-05-18,123456789012,Usage,2026-05-26T00:00:00Z,2026-05-26T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000035,2026-05-18,123456789012,Usage,2026-05-26T00:00:00Z,2026-05-26T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000036,2026-05-18,123456789012,Usage,2026-05-26T00:00:00Z,2026-05-26T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000037,2026-05-18,123456789012,Usage,2026-05-27T00:00:00Z,2026-05-27T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000038,2026-05-18,123456789012,Usage,2026-05-27T00:00:00Z,2026-05-27T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000039,2026-05-18,123456789012,Usage,2026-05-27T00:00:00Z,2026-05-27T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000040,2026-05-18,123456789012,Usage,2026-05-27T00:00:00Z,2026-05-27T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000041,2026-05-18,123456789012,Usage,2026-05-28T00:00:00Z,2026-05-28T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000042,2026-05-18,123456789012,Usage,2026-05-28T00:00:00Z,2026-05-28T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000043,2026-05-18,123456789012,Usage,2026-05-28T00:00:00Z,2026-05-28T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000044,2026-05-18,123456789012,Usage,2026-05-28T00:00:00Z,2026-05-28T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000045,2026-05-18,123456789012,Usage,2026-05-29T00:00:00Z,2026-05-29T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000046,2026-05-18,123456789012,Usage,2026-05-29T00:00:00Z,2026-05-29T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000047,2026-05-18,123456789012,Usage,2026-05-29T00:00:00Z,2026-05-29T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000048,2026-05-18,123456789012,Usage,2026-05-29T00:00:00Z,2026-05-29T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000049,2026-05-18,123456789012,Usage,2026-05-30T00:00:00Z,2026-05-30T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000050,2026-05-18,123456789012,Usage,2026-05-30T00:00:00Z,2026-05-30T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000051,2026-05-18,123456789012,Usage,2026-05-30T00:00:00Z,2026-05-30T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000052,2026-05-18,123456789012,Usage,2026-05-30T00:00:00Z,2026-05-30T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
li000053,2026-05-18,123456789012,Usage,2026-05-31T00:00:00Z,2026-05-31T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0a1active01,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000054,2026-05-18,123456789012,Usage,2026-05-31T00:00:00Z,2026-05-31T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0b2idle002,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000055,2026-05-18,123456789012,Usage,2026-05-31T00:00:00Z,2026-05-31T23:59:00Z,AmazonEC2,BoxUsage:t3.medium,RunInstances,i-0c3period03,24.0,0.0416,0.9984,Amazon Elastic Compute Cloud,us-east-1,i
li000056,2026-05-18,123456789012,Usage,2026-05-31T00:00:00Z,2026-05-31T23:59:00Z,AmazonEC2,EBS:VolumeUsage.gp3,CreateVolume,vol-0d4orph04,3.33,0.08,0.2664,Amazon Elastic Compute Cloud,us-east-1,vol
